Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,Base Score
1575526,7 Eleven Store 38856 A  ,Convenience Store,13034,Downey Ave,,Downey,CA,90242,4322,LOS ANGELES,33.91497,-118.1512,2024-01-30,,1
1204009,Gi Liquor  ,Convenience Store,9319,S Alameda St,,Los Angeles,CA,90002,2622,LOS ANGELES,33.9516,-118.2302,2024-01-29,,1
1424207,Golden Burrito  ,Small Grocery Store,2422,Daly St,,Los Angeles,CA,90031,2221,LOS ANGELES,34.07445,-118.2155,2024-01-29,,2
1577997,La Fuente 99 Cents Store  ,Convenience Store,272,S Normandie Ave,,Los Angeles,CA,90004,5306,LOS ANGELES,34.06939,-118.2999,2024-01-26,,1
1575344,7 Eleven Store 38482 A  ,Convenience Store,6500,Hollywood Blvd,,Los Angeles,CA,90028,6210,LOS ANGELES,34.10124,-118.3313,2024-01-26,,1
1565601,Carla's Fresh Market  ,Large Grocery Store,248,N Avenue 50,,Los Angeles,CA,90042,3906,LOS ANGELES,34.10659,-118.2034,2024-01-26,,4
1319522,Minaco Ventures  ,Medium Grocery Store,8606 1/2,S Vermont Ave,,Los Angeles,CA,90044,4828,LOS ANGELES,33.95954,-118.2914,2024-01-25,,3
1576445,Local Mart  ,Convenience Store,6804,Garfield Ave,,Bell Gardens,CA,90201,3204,LOS ANGELES,33.96976,-118.1486,2024-01-25,,1
848325,Oasis One Dollar Store  ,Convenience Store,224,W Rosecrans Ave,Ste 105,Compton,CA,90222,4151,LOS ANGELES,33.90301,-118.2268,2024-01-25,,1
1109216,Penaloza Market  ,Small Grocery Store,3223,City Terrace Dr, ,Los Angeles,CA,90063,2761,LOS ANGELES,34.04914,-118.1918,2024-01-24,,2
1570273,Menchitas Discount  ,Convenience Store,1606,Beverly Blvd,,Los Angeles,CA,90026,5711,LOS ANGELES,34.06332,-118.2635,2024-01-24,2025-07-16,1
1573794,The Village Market Place  ,Small Grocery Store,6569,S Vermont Ave,,Los Angeles,CA,90044,3651,LOS ANGELES,33.9794,-118.2921,2024-01-24,,2
1575364,Al Iman Super Store  ,Convenience Store,4350,Normal Ave,,Los Angeles,CA,90029,2705,LOS ANGELES,34.08652,-118.291,2024-01-23,,1
1575212,Mobil Corner  ,Convenience Store,1660,S Sepulveda Blvd,,Los Angeles,CA,90025,3512,LOS ANGELES,34.0481,-118.4443,2024-01-22,,1
1570751,Bazar European Market Inc  ,Combination Grocery/Other,3424,W Adams Blvd,,Los Angeles,CA,90018,4900,LOS ANGELES,34.03217,-118.3221,2024-01-19,,2
1580851,Sprouts Farmers Market 467,Supermarket,7925,Atlantic Ave, ,Cudahy,CA,90201,5710,LOS ANGELES,33.96227,-118.1877,2024-01-19,,5
1563162,LAC + USC Medical Center CFM  ,Farmers' Market,2051,Marengo St,,Los Angeles,CA,90033,1352,LOS ANGELES,34.05628,-118.2065,2024-01-16,,5
1574549,Louis Liquor  ,Convenience Store,9558,Firestone Blvd,,Downey,CA,90241,5506,LOS ANGELES,33.92951,-118.1126,2024-01-15,2025-12-25,1
1575420,Beyond Mini Market  ,Convenience Store,14105,Chadron Ave,Ste 104,Hawthorne,CA,90250,8794,LOS ANGELES,33.90315,-118.3293,2024-01-12,,1
1120299,Mommys Nutritional Center  ,Small Grocery Store,4455,W 117th St,Ste 102,Hawthorne,CA,90250,2240,LOS ANGELES,33.92839,-118.3539,2024-01-11,,2
1570131,The Pink Store  ,Convenience Store,11320,Mona Blvd,,Los Angeles,CA,90059,2140,LOS ANGELES,33.93155,-118.2307,2024-01-11,,1
1573325,Rockview Dairy  ,Convenience Store,12402,Inglewood Ave,,Hawthorne,CA,90250,4216,LOS ANGELES,33.9198,-118.3609,2024-01-09,,1
1570455,Will's Liquor  ,Convenience Store,6513,West Blvd,,Inglewood,CA,90302,1829,LOS ANGELES,33.98,-118.3354,2024-01-05,,1
804509,"Fishtown Outlet, Inc.  ",Seafood Specialty,3623,S la Brea Ave,,Los Angeles,CA,90016,5311,LOS ANGELES,34.01862,-118.3563,2024-01-05,,2
1571233,7 Eleven Store 38211 A  ,Convenience Store,10804,S Western Ave,Unit A,Los Angeles,CA,90047,4629,LOS ANGELES,33.93795,-118.3086,2024-01-05,,1
1573635,Mommys Nutritional Center  ,Small Grocery Store,271-B,Atlantic Blvd,,Los Angeles,CA,90022,1734,LOS ANGELES,34.03304,-118.1542,2024-01-05,,2
1569217,Amar Bangla  ,Small Grocery Store,4153,W 3rd St,,Los Angeles,CA,90020,3446,LOS ANGELES,34.06927,-118.3047,2024-01-04,2025-03-26,2
1574868,Davy Jones Liquor Locker And Market  ,Small Grocery Store,63,Navy St,,Venice,CA,90291,2486,LOS ANGELES,33.99705,-118.48,2024-01-04,,2
1569275,R & R Liquor  ,Convenience Store,10509,Compton Ave,,Los Angeles,CA,90002,3634,LOS ANGELES,33.94028,-118.2465,2023-12-29,,1
1541157,Tokyo Central & Main Pacific  ,Super Store,1620,W Redondo Beach Blvd,,Gardena,CA,90247,3222,LOS ANGELES,33.88858,-118.3055,2023-12-29,,3
1568201,Pan Dulce #2  ,Convenience Store,653,E Hyde Park Blvd,,Inglewood,CA,90302,2559,LOS ANGELES,33.97704,-118.3465,2023-12-28,2025-06-24,1
1571139,Flow  ,Convenience Store,6430,West Blvd,,Los Angeles,CA,90043,3846,LOS ANGELES,33.98082,-118.3348,2023-12-27,,1
